Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Brand,Car_Age,Kilometers_Per_Year,Fuel_Efficiency,Engine_Power_Ratio,Price_to_New_Price_Ratio
3,-1.4629112261351063,-1.050450940018985,0.6077691946896968,0,1,0,1.976217730149031,-1.3609302859658223,-1.3921567087795044,5.0,5.455173292218686,2,14,8.545558493925508,39.900000000000006,0.058159999999999996,491.7680624053871
5,0.7735591717319481,0.4786896293059348,-0.16835434884470113,1,1,0,0.30927910399516195,0.07926352761432573,0.48702366793780455,5.0,17.863905536804403,1,9,8.42432225645607,23.604000000000003,0.0797724399494311,1072.665770680503
4,-0.3886619050790231,-0.744622826154001,-0.0097527376682434,3,1,0,-0.04431393791626534,-0.7911589371712466,-0.3704104522832241,5.0,8.61,0,13,8.171729886779032,18.2,0.07397831526271893,801.1986062717771
4,-0.06140892833357997,-0.438794712289017,0.8686067072279525,1,1,0,0.5738725367179978,-0.6653981564906861,-0.3687689996494385,7.0,10.395767487445942,2,12,8.888894669371593,24.924,0.07112179487179487,884.7600728957558
0,1.1718407445338386,-0.1329665984240331,-0.17949296210356672,1,0,2,-0.765932390796728,0.7649296870814525,0.7537539469521942,5.0,28.25720285759305,4,11,8.215621159166218,18.24,0.07154471544715447,962.399220370549
1,-1.1276265024082797,-0.438794712289017,0.664035231589878,2,1,0,0.6532505665348491,-1.3609302859658223,-1.5181584516334554,5.0,6.1106779991938565,1,12,8.740496729931813,27.430000000000003,0.055200000000000006,589.5352365932634
4,-0.6745337393366463,-0.1329665984240331,0.8685908642700426,1,1,0,1.1295187454359539,-0.1706022554831956,-1.1952854917256066,5.0,8.481036683722872,4,11,8.9758830607617,27.695999999999998,0.0431895961670089,632.6302078491658
3,1.1563446942077125,0.7845177431709187,-0.34760779260092756,1,0,0,-1.6896040104837202,1.8215480280728575,1.234843219292862,8.0,21.0,5,8,8.412054873292933,13.632,0.062250453720508164,1277.4666666666667
5,-0.22419517477749024,-0.1329665984240331,0.454655540524581,1,1,0,0.5185484553304955,0.11086471739342593,0.006824314515247715,5.0,11.743276778643017,6,11,8.67561008268374,24.648,0.06483103879849812,678.8045747586584
4,-1.3398415089733258,-0.438794712289017,0.4864183921531395,1,1,2,0.941897947687034,-0.6653981564906861,-0.8097757009095529,5.0,14.243262868554893,4,12,8.611654526205063,26.76,0.05929487179487179,209.87255712309184
